3000	1	0.6209	0.2351
3050	1	0.6326	0.2479
3100	1	0.6432	0.2546
3150	1	0.6551	0.2662
3200	1	0.6633	0.2759
3250	1	0.673	0.2857
3300	1	0.6737	0.2859
3350	1	0.6875	0.3065
3400	1	0.7035	0.3147
3450	1	0.7129	0.3284
3500	1	0.7186	0.338
3550	1	0.7189	0.3517
3600	1	0.7314	0.3583
3650	1	0.7428	0.3686
3700	1	0.7469	0.3827
3750	1	0.753	0.3923
3800	1	0.7615	0.405
3850	1	0.7737	0.4178
3900	1	0.775	0.4337
3950	1	0.7784	0.4411
4000	1	0.7784	0.4411
4050	1	0.7988	0.4655
4100	1	0.8014	0.4761
4150	1	0.8069	0.4882
4200	1	0.8105	0.5012
4250	1	0.8117	0.5162
4300	1	0.8229	0.5266
4350	1	0.8309	0.5361
4400	1	0.8361	0.5509
4450	1	0.8427	0.5626
4500	1	0.8505	0.5722
4550	1	0.8541	0.5877
4600	1	0.8445	0.5905
4650	1	0.8557	0.5997
4700	1	0.8706	0.6227
4750	1	0.877	0.6323
4800	1	0.881	0.6491
4850	1	0.8836	0.6582
4900	1	0.8914	0.6681
4950	1	0.892	0.6776
5000	1	0.899	0.6933
5050	1	0.9033	0.702
5100	1	0.9045	0.711
5150	1	0.9045	0.711
5200	1	0.9012	0.7291
5250	1	0.9187	0.7444
5300	1	0.9202	0.7564
5350	1	0.9234	0.7653
5400	1	0.9253	0.7758
5450	1	0.932	0.7873
5500	1	0.9387	0.8002
5550	1	0.9406	0.8105
5600	1	0.9388	0.8168
5650	1	0.9439	0.8294
5700	1	0.9532	0.8361
5750	1	0.9528	0.8477
5800	1	0.955	0.8591
5850	1	0.9478	0.8637
5900	1	0.9561	0.8748
5950	1	0.9643	0.893
6000	1	0.968	0.8968
6050	1	0.9622	0.9051
6100	1	0.9731	0.9171
6150	1	0.9768	0.9281
6200	1	0.982	0.9364
6250	1	0.9809	0.9436
6300	1	0.9852	0.9529
6350	1	0.9863	0.9639
6400	1	0.9897	0.9721
6450	1	1	0.9895
6500	1	1	0.9944
6550	1	1	0.9964
6600	1	0.9841	0.9951
6650	1	0.9834	1
6700	0.9773	0.9775	1
6750	0.9685	0.9704	1
6800	0.9581	0.9618	1
6850	0.9526	0.9564	1
6900	0.945	0.9536	1
6950	0.9365	0.945	1
7000	0.9335	0.9396	1
7050	0.9252	0.9354	1
7100	0.9187	0.9314	1
7150	0.9042	0.9246	1
7200	0.9054	0.9205	1
7250	0.8989	0.9175	1
7300	0.9006	0.914	1
7350	0.8872	0.9041	1
7400	0.8811	0.899	1
7450	0.8789	0.8962	1
7500	0.8681	0.8938	1
7550	0.8681	0.8938	1
7600	0.8619	0.8978	1
7650	0.8529	0.8819	1
7700	0.8484	0.8783	1
7750	0.8494	0.8768	1
7800	0.8349	0.8719	1
7850	0.8349	0.8719	1
7900	0.8292	0.8635	1
7950	0.8247	0.8571	1
8000	0.8194	0.8597	1
