0	0	0	0	0	0
256	0	0	240	3	0
512	0	0	485	6	0
768	0	0	717	9	0
1024	0	0	945	11	0
1280	0	0	1178	14	0
1536	0	0	1408	17	0
1792	0	0	1627	19	0
2048	0	0	1855	22	0
2303	0	0	2082	25	0
2559	0	0	2333	27	0
2815	0	0	2555	30	0
3071	0	0	2780	31	0
3327	0	0	3007	34	0
3583	0	0	3243	38	0
3839	0	0	3474	40	0
4095	0	0	3689	43	0
0	256	0	17	256	2
256	256	0	258	261	1
512	256	0	504	266	1
768	256	0	736	269	1
1024	256	0	963	270	1
1280	256	0	1197	273	1
1536	256	0	1426	275	1
1792	256	0	1646	277	0
2048	256	0	1877	279	0
2303	256	0	2101	278	0
2559	256	0	2357	281	0
2815	256	0	2575	284	0
3071	256	0	2803	285	0
3327	256	0	3034	289	0
3583	256	0	3268	292	0
3839	256	0	3494	296	0
4095	256	0	3707	300	0
0	512	0	35	506	3
256	512	0	275	513	3
512	512	0	522	517	3
768	512	0	750	519	3
1024	512	0	979	522	3
1280	512	0	1213	525	2
1536	512	0	1438	527	2
1792	512	0	1658	528	2
2048	512	0	1886	527	2
2303	512	0	2118	526	2
2559	512	0	2375	528	2
2815	512	0	2595	531	1
3071	512	0	2817	534	1
3327	512	0	3044	536	1
3583	512	0	3278	541	1
3839	512	0	3502	546	1
4095	512	0	3719	550	1
0	768	0	52	747	5
256	768	0	293	753	5
512	768	0	538	755	5
768	768	0	765	759	4
1024	768	0	993	762	4
1280	768	0	1228	764	4
1536	768	0	1452	767	4
1792	768	0	1671	768	4
2048	768	0	1901	765	4
2303	768	0	2139	764	3
2559	768	0	2385	764	3
2815	768	0	2608	770	3
3071	768	0	2831	772	3
3327	768	0	3058	774	3
3583	768	0	3290	780	3
3839	768	0	3513	785	2
4095	768	0	3731	790	2
0	1024	0	69	988	6
256	1024	0	310	996	6
512	1024	0	556	998	6
768	1024	0	779	1002	6
1024	1024	0	1008	1004	6
1280	1024	0	1245	1009	6
1536	1024	0	1467	1012	6
1792	1024	0	1688	1011	5
2048	1024	0	1916	1010	5
2303	1024	0	2152	1008	5
2559	1024	0	2400	1010	5
2815	1024	0	2616	1012	5
3071	1024	0	2840	1014	5
3327	1024	0	3070	1018	4
3583	1024	0	3304	1025	4
3839	1024	0	3526	1032	4
4095	1024	0	3745	1038	4
0	1280	0	86	1243	8
256	1280	0	328	1251	8
512	1280	0	570	1255	8
768	1280	0	795	1255	8
1024	1280	0	1028	1263	7
1280	1280	0	1263	1266	7
1536	1280	0	1483	1267	7
1792	1280	0	1704	1266	7
2048	1280	0	1933	1264	7
2303	1280	0	2169	1262	7
2559	1280	0	2414	1263	6
2815	1280	0	2631	1264	6
3071	1280	0	2848	1265	6
3327	1280	0	3080	1269	6
3583	1280	0	3314	1276	6
3839	1280	0	3536	1283	6
4095	1280	0	3759	1291	5
0	1536	0	104	1471	10
256	1536	0	344	1481	10
512	1536	0	585	1486	9
768	1536	0	810	1487	9
1024	1536	0	1041	1488	9
1280	1536	0	1278	1491	9
1536	1536	0	1496	1493	9
1792	1536	0	1715	1490	9
2048	1536	0	1940	1484	8
2303	1536	0	2180	1481	8
2559	1536	0	2420	1482	8
2815	1536	0	2635	1482	8
3071	1536	0	2858	1485	8
3327	1536	0	3091	1489	8
3583	1536	0	3322	1495	7
3839	1536	0	3540	1502	7
4095	1536	0	3759	1507	7
0	1792	0	121	1711	11
256	1792	0	358	1723	11
512	1792	0	594	1726	11
768	1792	0	819	1728	11
1024	1792	0	1046	1730	11
1280	1792	0	1283	1735	11
1536	1792	0	1497	1735	10
1792	1792	0	1714	1728	10
2048	1792	0	1941	1723	10
2303	1792	0	2179	1720	10
2559	1792	0	2416	1720	10
2815	1792	0	2633	1723	10
3071	1792	0	2850	1722	9
3327	1792	0	3079	1728	9
3583	1792	0	3308	1732	9
3839	1792	0	3524	1739	9
4095	1792	0	3744	1745	9
0	2048	0	136	1949	13
256	2048	0	372	1956	13
