0	0	0	0	0	0
256	0	0	188	11	4
512	0	0	378	22	7
768	0	0	566	33	11
1024	0	0	755	44	15
1280	0	0	944	55	18
1536	0	0	1133	65	22
1792	0	0	1321	76	26
2048	0	0	1511	87	30
2303	0	0	1698	98	33
2559	0	0	1887	109	37
2815	0	0	2076	120	41
3071	0	0	2265	131	44
3327	0	0	2453	142	48
3583	0	0	2642	153	52
3839	0	0	2831	164	55
4095	0	0	3019	173	58
0	256	0	56	243	17
256	256	0	245	254	21
512	256	0	433	265	25
768	256	0	623	276	28
1024	256	0	811	286	32
1280	256	0	1000	297	36
1536	256	0	1189	308	39
1792	256	0	1378	318	43
2048	256	0	1566	329	47
2303	256	0	1755	340	50
2559	256	0	1943	351	54
2815	256	0	2132	362	57
3071	256	0	2321	373	60
3327	256	0	2509	384	64
3583	256	0	2698	395	68
3839	256	0	2887	405	72
4095	256	0	3076	416	75
0	512	0	112	485	34
256	512	0	300	496	38
512	512	0	490	507	42
768	512	0	678	517	46
1024	512	0	867	528	49
1280	512	0	1056	539	53
1536	512	0	1245	550	57
1792	512	0	1433	561	59
2048	512	0	1622	572	63
2303	512	0	1810	583	67
2559	512	0	1999	594	70
2815	512	0	2188	605	74
3071	512	0	2377	616	78
3327	512	0	2565	626	81
3583	512	0	2754	637	85
3839	512	0	2943	648	89
4095	512	0	3131	659	92
0	768	0	168	728	52
256	768	0	357	739	55
512	768	0	545	749	58
768	768	0	735	760	62
1024	768	0	923	771	65
1280	768	0	1112	782	69
1536	768	0	1301	793	73
1792	768	0	1489	804	77
2048	768	0	1678	815	80
2303	768	0	1867	826	84
2559	768	0	2055	837	88
2815	768	0	2244	848	91
3071	768	0	2433	858	95
3327	768	0	2621	869	99
3583	768	0	2810	880	102
3839	768	0	2999	891	106
4095	768	0	3188	902	110
0	1024	0	224	970	68
256	1024	0	412	981	72
512	1024	0	602	992	75
768	1024	0	790	1003	79
1024	1024	0	979	1014	83
1280	1024	0	1168	1025	86
1536	1024	0	1356	1036	90
1792	1024	0	1545	1047	94
2048	1024	0	1734	1058	97
2303	1024	0	1922	1068	101
2559	1024	0	2111	1079	105
2815	1024	0	2300	1089	109
3071	1024	0	2488	1100	112
3327	1024	0	2677	1111	116
3583	1024	0	2866	1122	120
