0	0	0	0	0	0
256	0	0	8	8	8
512	0	0	17	17	17
768	0	0	25	25	25
1024	0	0	33	33	33
1280	0	0	41	41	41
1536	0	0	50	50	50
1792	0	0	58	58	58
2048	0	0	66	66	66
2303	0	0	74	74	74
2559	0	0	83	83	83
2815	0	0	91	91	91
3071	0	0	99	99	99
3327	0	0	107	107	107
3583	0	0	116	116	116
3839	0	0	124	124	124
4095	0	0	132	132	132
0	256	0	124	124	124
256	256	0	218	218	218
512	256	0	260	260	260
768	256	0	295	295	295
1024	256	0	325	325	325
1280	256	0	352	352	352
1536	256	0	378	378	378
1792	256	0	403	403	403
2048	256	0	426	426	426
2303	256	0	448	448	448
2559	256	0	470	470	470
2815	256	0	491	491	491
3071	256	0	511	511	511
3327	256	0	531	531	531
3583	256	0	551	551	551
3839	256	0	570	570	570
4095	256	0	589	589	589
0	512	0	249	249	249
256	512	0	380	380	380
512	512	0	436	436	436
768	512	0	482	482	482
1024	512	0	521	521	521
1280	512	0	556	556	556
1536	512	0	589	589	589
1792	512	0	620	620	620
2048	512	0	650	650	650
2303	512	0	678	678	678
2559	512	0	705	705	705
2815	512	0	731	731	731
3071	512	0	756	756	756
3327	512	0	781	781	781
3583	512	0	805	805	805
3839	512	0	829	829	829
4095	512	0	852	852	852
0	768	0	373	373	373
256	768	0	534	534	534
512	768	0	601	601	601
768	768	0	655	655	655
1024	768	0	701	701	701
1280	768	0	743	743	743
1536	768	0	781	781	781
1792	768	0	817	817	817
2048	768	0	851	851	851
2303	768	0	884	884	884
2559	768	0	915	915	915
2815	768	0	945	945	945
3071	768	0	974	974	974
3327	768	0	1003	1003	1003
3583	768	0	1030	1030	1030
3839	768	0	1057	1057	1057
4095	768	0	1084	1084	1084
0	1024	0	497	497	497
256	1024	0	683	683	683
512	1024	0	760	760	760
768	1024	0	821	821	821
1024	1024	0	873	873	873
1280	1024	0	920	920	920
1536	1024	0	963	963	963
1792	1024	0	1003	1003	1003
2048	1024	0	1042	1042	1042
2303	1024	0	1078	1078	1078
2559	1024	0	1113	1113	1113
2815	1024	0	1146	1146	1146
3071	1024	0	1179	1179	1179
3327	1024	0	1210	1210	1210
3583	1024	0	1240	1240	1240
3839	1024	0	1270	1270	1270
4095	1024	0	1299	1299	1299
0	1280	0	621	621	621
256	1280	0	829	829	829
512	1280	0	915	915	915
768	1280	0	982	982	982
1024	1280	0	1040	1040	1040
1280	1280	0	1091	1091	1091
1536	1280	0	1139	1139	1139
1792	1280	0	1183	1183	1183
2048	1280	0	1224	1224	1224
2303	1280	0	1264	1264	1264
2559	1280	0	1302	1302	1302
2815	1280	0	1338	1338	1338
3071	1280	0	1374	1374	1374
3327	1280	0	1408	1408	1408
3583	1280	0	1441	1441	1441
3839	1280	0	1473	1473	1473
4095	1280	0	1505	1505	1505
0	1536	0	746	746	746
256	1536	0	974	974	974
512	1536	0	1067	1067	1067
768	1536	0	1140	1140	1140
1024	1536	0	1202	1202	1202
1280	1536	0	1258	1258	1258
1536	1536	0	1309	1309	1309
1792	1536	0	1357	1357	1357
2048	1536	0	1402	1402	1402
2303	1536	0	1444	1444	1444
2559	1536	0	1485	1485	1485
2815	1536	0	1524	1524	1524
3071	1536	0	1562	1562	1562
3327	1536	0	1599	1599	1599
3583	1536	0	1634	1634	1634
3839	1536	0	1669	1669	1669
4095	1536	0	1703	1703	1703
0	1792	0	870	870	870
256	1792	0	1117	1117	1117
512	1792	0	1217	1217	1217
768	1792	0	1295	1295	1295
1024	1792	0	1362	1362	1362
1280	1792	0	1422	1422	1422
1536	1792	0	1477	1477	1477
1792	1792	0	1528	1528	1528
2048	1792	0	1575	1575	1575
2303	1792	0	1621	1621	1621
2559	1792	0	1664	1664	1664
2815	1792	0	1706	1706	1706
3071	1792	0	1746	1746	1746
3327	1792	0	1785	1785	1785
3583	1792	0	1823	1823	1823
3839	1792	0	1859	1859	1859
4095	1792	0	1895	1895	1895
0	2048	0	994	994	994
256	2048	0	1259	1259	1259
512	2048	0	1366	1366	1366
768	2048	0	1449	1449	1449
1024	2048	0	1520	1520	1520
1280	2048	0	1583	1583	1583
1536	2048	0	1641	1641	1641
1792	2048	0	1695	1695	1695
2048	2048	0	1746	1746	1746
2303	2048	0	1794	1794	1794
2559	2048	0	1840	1840	1840
2815	2048	0	1884	1884	1884
3071	2048	0	1926	1926	1926
3327	2048	0	1967	1967	1967
3583	2048	0	2007	2007	2007
3839	2048	0	2045	2045	2045
4095	2048	0	2083	2083	2083
0	2303	0	1118	1118	1118
256	2303	0	1399	1399	1399
512	2303	0	1512	1512	1512
768	2303	0	1600	1600	1600
1024	2303	0	1675	1675	1675
1280	2303	0	1742	1742	1742
1536	2303	0	1803	1803	1803
1792	2303	0	1860	1860	1860
2048	2303	0	1913	1913	1913
2303	2303	0	1963	1963	1963
2559	2303	0	2011	2011	2011
2815	2303	0	2058	2058	2058
3071	2303	0	2102	2102	2102
3327	2303	0	2145	2145	2145
3583	2303	0	2187	2187	2187
3839	2303	0	2227	2227	2227
4095	2303	0	2267	2267	2267
0	2559	0	1242	1242	1242
256	2559	0	1539	1539	1539
512	2559	0	1658	1658	1658
768	2559	0	1751	1751	1751
1024	2559	0	1829	1829	1829
1280	2559	0	1899	1899	1899
1536	2559	0	1963	1963	1963
1792	2559	0	2023	2023	2023
2048	2559	0	2078	2078	2078
2303	2559	0	2131	2131	2131
2559	2559	0	2181	2181	2181
2815	2559	0	2230	2230	2230
3071	2559	0	2276	2276	2276
3327	2559	0	2321	2321	2321
3583	2559	0	2365	2365	2365
3839	2559	0	2407	2407	2407
4095	2559	0	2448	2448	2448
0	2815	0	1367	1367	1367
256	2815	0	1679	1679	1679
512	2815	0	1803	1803	1803
768	2815	0	1900	1900	1900
1024	2815	0	1982	1982	1982
1280	2815	0	2055	2055	2055
1536	2815	0	2122	2122	2122
1792	2815	0	2184	2184	2184
2048	2815	0	2242	2242	2242
2303	2815	0	2297	2297	2297
2559	2815	0	2349	2349	2349
2815	2815	0	2400	2400	2400
3071	2815	0	2448	2448	2448
3327	2815	0	2495	2495	2495
3583	2815	0	2540	2540	2540
3839	2815	0	2584	2584	2584
4095	2815	0	2627	2627	2627
0	3071	0	1491	1491	1491
256	3071	0	1818	1818	1818
512	3071	0	1948	1948	1948
768	3071	0	2048	2048	2048
1024	3071	0	2134	2134	2134
1280	3071	0	2210	2210	2210
1536	3071	0	2279	2279	2279
1792	3071	0	2344	2344	2344
2048	3071	0	2404	2404	2404
2303	3071	0	2461	2461	2461
2559	3071	0	2515	2515	2515
2815	3071	0	2568	2568	2568
3071	3071	0	2618	2618	2618
3327	3071	0	2666	2666	2666
3583	3071	0	2713	2713	2713
3839	3071	0	2759	2759	2759
4095	3071	0	2803	2803	2803
0	3327	0	1615	1615	1615
256	3327	0	1956	1956	1956
512	3327	0	2091	2091	2091
768	3327	0	2196	2196	2196
1024	3327	0	2284	2284	2284
1280	3327	0	2363	2363	2363
1536	3327	0	2435	2435	2435
1792	3327	0	2502	2502	2502
2048	3327	0	2565	2565	2565
2303	3327	0	2624	2624	2624
2559	3327	0	2680	2680	2680
2815	3327	0	2734	2734	2734
3071	3327	0	2786	2786	2786
3327	3327	0	2836	2836	2836
3583	3327	0	2885	2885	2885
3839	3327	0	2932	2932	2932
