0	0	0	0	0	0
256	0	0	95	21	31
512	0	0	168	20	50
768	0	0	229	19	70
1024	0	0	278	18	80
1280	0	0	314	17	83
1536	0	0	345	16	84
1792	0	0	371	15	85
2048	0	0	411	15	88
2304	0	0	460	15	90
2560	0	0	518	15	93
2816	0	0	617	15	99
3072	0	0	766	16	109
3328	0	0	966	15	113
3584	0	0	1016	14	104
3840	0	0	1023	21	100
4095	0	0	1023	42	98
0	256	0	20	91	46
256	256	0	87	86	20
512	256	0	165	75	20
768	256	0	232	51	19
1024	256	0	283	18	46
1280	256	0	319	17	66
1536	256	0	347	16	74
1792	256	0	374	15	78
2048	256	0	415	15	83
2304	256	0	463	15	86
2560	256	0	522	15	89
2816	256	0	623	15	96
3072	256	0	775	16	107
3328	256	0	893	16	110
3584	256	0	1018	14	102
3840	256	0	1023	14	101
4095	256	0	1023	63	98
0	512	0	19	152	75
256	512	0	36	151	18
512	512	0	150	147	18
768	512	0	214	135	19
1024	512	0	267	120	18
1280	512	0	311	101	17
1536	512	0	347	77	17
1792	512	0	383	31	23
2048	512	0	428	15	54
2304	512	0	477	15	67
2560	512	0	538	15	76
2816	512	0	650	15	88
3072	512	0	804	16	97
3328	512	0	912	16	98
3584	512	0	993	15	93
3840	512	0	1022	14	94
4095	512	0	1023	99	98
0	768	0	18	199	105
256	768	0	18	199	86
512	768	0	114	193	17
768	768	0	190	186	16
1024	768	0	242	174	17
1280	768	0	287	160	16
1536	768	0	330	148	15
1792	768	0	376	136	15
2048	768	0	428	122	16
2304	768	0	486	102	24
2560	768	0	576	75	31
2816	768	0	714	16	49
3072	768	0	847	16	70
3328	768	0	943	15	79
3584	768	0	1005	14	79
3840	768	0	1022	13	80
4095	768	0	1023	136	98
0	1024	0	16	243	124
256	1024	0	16	243	119
512	1024	0	56	229	15
768	1024	0	158	220	15
1024	1024	0	217	212	15
1280	1024	0	268	206	15
1536	1024	0	319	201	15
1792	1024	0	366	193	15
2048	1024	0	415	183	15
2304	1024	0	477	173	15
2560	1024	0	576	166	15
2816	1024	0	726	162	26
3072	1024	0	860	143	35
3328	1024	0	966	110	41
3584	1024	0	1020	56	41
3840	1024	0	1023	14	47
4095	1024	0	1023	174	98
0	1280	0	15	278	131
256	1280	0	15	278	122
512	1280	0	15	259	76
768	1280	0	128	257	15
1024	1280	0	200	255	15
1280	1280	0	256	251	15
1536	1280	0	307	246	15
1792	1280	0	354	240	15
2048	1280	0	404	233	15
2304	1280	0	468	228	15
2560	1280	0	575	231	15
